,name,description
0,AccessChk,"Get the security descriptor (SDDL) for an object (file, directory, reg key)."
1,ADDUSERS,Add or list users to/from a CSV file
2,ADmodcmd,Active Directory Bulk Modify
3,ARP,Address Resolution Protocol
4,ASSOC,Change file extension associations •
5,ATTRIB,Change file attributes
6,BCDBOOT,Create or repair a system partition
7,BCDEDIT,Manage Boot Configuration Data
8,BITSADMIN,Background Intelligent Transfer Service
9,BOOTREC,Repair or replace a  partition boot sector
10,BREAK,"Do nothing, successfully •"
11,BROWSTAT,"Get domain, browser and PDC info"
12,CACLS,Change file permissions
13,CALL,Call one batch program from another •
14,CERTREQ,Request certificate from a certification authority
15,CERTUTIL,Manage certification authority (CA) files and services
16,CD,Change Directory - move to a specific Folder •
17,CHANGE,Change Terminal Server Session properties
18,CHANGEPK,Upgrade device Edition/Product Key
19,CHCP,Change the active console Code Page
20,CHDIR,Change Directory - move to a specific Folder •
21,CHKDSK,Check Disk - check and repair disk problems
22,CHKNTFS,Check the NTFS file system
23,CHOICE,Accept keyboard input to a batch file
24,CIPHER,"Encrypt or Decrypt files/folders, overwrite data."
25,CleanMgr,"Automated cleanup of Temp files, recycle bin"
26,CLIP,Copy STDIN to the Windows clipboard
27,CLS,Clear the screen •
28,CMD,Start a new CMD shell
29,CMDKEY,Manage stored usernames/passwords
30,COLOR,Change colors of the CMD window •
31,COMP,Compare the contents of two files or sets of files
32,COMPACT,Compress files or folders on an NTFS partition
33,COMPRESS,Compress one or more files
34,CON,Console input
35,CONVERT,Convert a FAT drive to NTFS
36,COPY,Copy one or more files to another location •
37,Coreinfo,Show the mapping between logical & physical processors
38,CSCcmd,Client-side caching (Offline Files)
39,CSVDE,Import or Export Active Directory data
40,CURL,Transfer data from or to a server
41,DATE,Display or set the date •
42,DEFRAG,Defragment hard drive
43,DEL,Delete one or more files •
44,DELPROF,Delete user profiles
45,DELTREE,Delete a folder and all subfolders
46,DevCon,Device Manager Command Line Utility
47,DIR,Display a list of files and folders •
48,DIRUSE,Display  directory sizes/usage
49,DISKPART,Disk Administration
50,DISKSHADOW,Volume Shadow Copy Service
51,DISKUSE,Show the space used in folders
52,DISM,Deployment Image Servicing and Management
53,DisplaySwitch,Specify which display to use and how to use it
54,DNSCMD,Manage DNS servers
55,DOSKEY,"Edit command line, recall commands, and create macros"
56,DriverQuery,Display installed device drivers
57,DSACLs,Active Directory ACLs
58,DSAdd,Add items to Active Directory (user group computer)
59,DSGet,View items in Active Directory (user group computer)
60,DSQuery,Search Active Directory (user group computer)
61,DSMod,Modify items in Active Directory (user group computer)
62,DSMove,Move an Active Directory Object
63,DSRM,Remove items from Active Directory
64,DSREGCMD,Directory Service Registration
65,DU,Display  directory sizes/usage
66,ECHO,Display message on screen •
67,ENDLOCAL,End localisation of the environment in a batch file •
68,ERASE,Delete one or more files •
69,EVENTCREATE,Add a message to the Windows event log
70,EXIT,Quit the current script/routine and set an errorlevel •
71,EXPAND,Uncompress CAB files
72,EXPLORER,Open Windows Explorer
73,EXTRACT,Uncompress CAB files
74,FC,Compare two files
75,FIND,Search for a text string in a file
76,FINDSTR,Search for strings in files
77,FLTMC,Manage MiniFilter drivers
78,FONDUE,Features on Demand User Experience Tool
79,FOR /F,Loop command: against a set of files •
80,FOR /F,Loop command: against the results of another command •
81,FOR,"Loop command: all options Files, Directory, List •"
82,FORFILES,Batch process multiple files
83,FORMAT,Format a disk
84,FREEDISK,Check free disk space
85,FSUTIL,File and Volume utilities
86,FTP,File Transfer Protocol
87,FTYPE,File extension file type associations •
88,GETMAC,Display the Media Access Control (MAC) address
89,GOTO,Direct a batch program to jump to a labelled line •
90,GPRESULT,Display Resultant Set of Policy information
91,GPUPDATE,Update Group Policy settings
92,HELP,Online Help
93,HOSTNAME,Display the host name of the computer
94,iCACLS,Change file and folder permissions
95,IEXPRESS,Create a self extracting ZIP file archive
96,IF,Conditionally perform a command •
97,IFMEMBER,Is the current user a member of a group
98,IPCONFIG,Configure IP
99,INUSE,Replace files that are in use by the OS
100,KLIST,List cached Kerberos tickets
101,LABEL,Edit a disk label
102,LGPO,Local Group Policy Object utility
103,LODCTR,Load PerfMon performance counters
104,LOGMAN,Manage Performance Monitor logs
105,LOGOFF,Log a user off
106,LOGTIME,Log the date and time in a file
107,MAKECAB,Create .CAB files
108,MAPISEND,Send email from the command line
109,Manage-BDE,BitLocker Drive Encryption
110,MBR2GPT,Convert a disk partition from  Master Boot Record to a GPT
111,MD,Create a new Directory •
112,MKLINK,Create a symbolic link (linkd) •
113,MODE,Configure a system device COM/LPT/CON
114,MORE,"Display output, one screen at a time"
115,MOUNTVOL,Manage a volume mount point
116,MOVE,Move files from one folder to another •
117,MOVEUSER,Move a user from one domain to another
118,MSG,Send a message
119,MSIEXEC,Microsoft Windows Installer
120,MSINFO32,System Information
121,MSTSC,Terminal Server Connection/Remote Desktop Protocol(RDP)
122,NET,Manage network resources
123,NETDOM,Domain Manager
124,NETSH,"Configure Network Interfaces, Firewall & Remote access"
125,NBTSTAT,Display networking statistics (NetBIOS over TCP/IP)
126,NETSTAT,Display networking statistics (TCP/IP)
127,NLSINFO,Display locale information (reskit)
128,NLTEST,Network Location Test (AD)
129,NMBIND,Manage Hyper-V network bindings
130,NOW,Display the current Date and Time
131,NSLOOKUP,Name server lookup
132,NTBACKUP,Windows Backup folders to tape
133,NTDSUtil,Active Directory Domain Services management
134,NTRIGHTS,Edit user account rights
135,NVSPBIND,Modify network bindings
136,OPENFILES,Query or display open files
137,PATH,Display or set a search path for executable files •
138,PATHPING,Trace route plus network latency and packet loss
139,PAUSE,Suspend processing of a batch file •
140,PERMS,Show permissions for a user
141,PING,Test a network connection
142,PKTMON,Monitor internal packet propagation and packet drop reports
