,name,description
0,afconvert,Audio File Convert
1,afinfo,Audio File Info
2,afplay,Audio File Play
3,airport,Manage Apple AirPort
4,alias,Create an alias •
5,apropos,Search the whatis database for strings
6,asr,Apple Software Restore
7,awk,Find and Replace text within file(s)
8,basename,Convert a full pathname to just a filename
9,bash,Bourne-Again SHell
10,bc,Arbitrary precision calculator language
11,bg,Send to background •
12,bind,Set or display readline key and function bindings •
13,bless,Set volume bootability and startup disk options
14,break,"Exit from a For, While, Until or Select loop •"
15,brew,Package manager
16,builtin,Execute a shell builtin •
17,bzip2,Compress or decompress files
18,caffeinate,Prevent the system from sleeping
19,cal,Display a calendar
20,calendar,Reminder Service
21,caller,Return the context of a subroutine call •
22,cancel,Cancel print jobs
23,case,Conditionally perform a command •
24,cat,Concatenate and print (display) the content of files
25,cd,Change Directory •
26,chflags,Change a file or folder's flags
27,chgrp,Change group ownership
28,chmod,Change access permissions
29,chown,Change file owner and group
30,chroot,Run a command with a different root directory
31,chsh,"Add or change user database information, change default shell"
32,cksum,Print CRC checksum and byte counts
33,cmp,Compare two files
34,codesign,Create and manipulate code signatures
35,comm,Compare two sorted files line by line
36,command,Run a command (not a function) •
37,complete,Edit a command completion [word/pattern/list] •
38,continue,Resume the next iteration of a loop •
39,cp,Copy one or more files to another location
40,cpio,Copy files to and from archives
41,createhomedir,Create and populate home directories on the local computer
42,cron,Daemon to execute scheduled commands
43,crontab,Schedule a command to run at a later date/time
44,csplit,Split a file into context-determined pieces
45,csrutil,Configure System Integrity Protection (SIP)
46,cupsfilter,Convert a file to another format using cups filters
47,curl,Transfer data  from or to a server
48,cut,Divide a file into several parts
49,date,Display or change the date & time
50,dc,Desk Calculator
51,dd,"Data Duplicator - convert and copy a file, clone disks"
52,declare,Declare variable & set attributes •
53,defaults,"Set preferences, show hidden files"
54,df,Display free disk space
55,diff,Display the differences between two files
56,diff3,Show differences among three files
57,dig,DNS lookup
58,dirname,Convert a full pathname to just a path
59,dirs,Display list of remembered directories •
60,diskutil,"Disk utilities - Format, Verify, Repair"
61,disown,Unbind a job from the current login session •
62,ditto,Copy files and folders
63,dot_clean,Remove dot-underscore files
64,drutil,Interact with CD/DVD burners
65,dscacheutil,Query or flush the Directory Service/DNS cache
66,dseditgroup,"Edit, create, manipulate, or delete groups"
67,dsenableroot,Enable root access
68,dscl,Directory Service command line utility
69,du,Estimate file space usage
70,echo,Display text on screen •
71,enable,Enable and disable builtin shell commands •
72,env,List or Set environment variables
73,eval,Evaluate several commands/arguments •
74,exec,Execute a command •
75,exit,Exit the shell •
76,execsnoop,Snoop new process execution
77,expand,Convert tabs to spaces
78,expect,"Programmed dialogue with interactive programs
Also see AppleScript"
79,export,Set an environment variable •
80,expr,Evaluate expressions
81,false,"Do nothing, unsuccessfully"
82,fc,Fix command (history)
83,fdisk,Partition table manipulator for Darwin UFS/HFS/DOS
84,fg,Send job to foreground •
85,file,Determine file type
86,find,Search for files that meet a desired criteria
87,fmt,Reformat paragraph text
88,fold,Wrap text to fit a specified width
89,for,Loop command •
90,fsck,Filesystem consistency check and repair
91,fs_usage,Filesystem usage (process/pathname)
92,ftp,Internet file transfer program
93,function,Define Function Macros
94,fuser,List processes that have one or more files open
95,GetFileInfo,Get attributes of HFS+ files
96,getopt,Parse positional parameters
97,getopts,Parse positional parameters •
98,goto,Jump to label and continue execution
99,grep,Search file(s) for lines that match a given pattern
100,groups,Print group names a user is in
101,gzip,Compress or decompress files
102,halt,Stop and restart the operating system
103,hash,Refresh the cached/remembered location of commands •
104,head,Display the first lines of a file
105,hdiutil,Manipulate iso disk images
106,history,Command History •
107,hostname,Print or set system name
108,iconv,Convert the character set of a file
109,id,Print user and group names/id's
110,if,Conditionally perform a command •
111,ifconfig,Configure network interface parameters
112,iostat,Report CPU and i/o statistics
113,ipconfig,View and control IP configuration state
114,info,Help info
115,install,Copy files and set attributes
116,installer,System software and .pkg package installer tool
117,iosnoop,Snoop I/O events as they occur
118,jobs,List active jobs •
119,join,Join lines on a common field
120,kextfind,List kernel extensions
121,kextstat,Display status of loaded kernel extensions (kexts)
122,kextunload,Terminate driver instances and unload kernel extensions.
123,kickstart,Configure Apple Remote Desktop
124,kill,Kill a process by specifying its PID
125,killall,Kill processes by name
126,klist,List cached Kerberos tickets
127,l,List files in long format (ls -l)
128,last,Indicate last logins of users and ttys
129,launchctl,Load or unload daemons/agents
130,ll,"List files in long format, showing invisible files (ls -la)"
131,leave,Remind you when you have to leave
132,less,Display output one screen at a time
133,let,Evaluate expression •
134,lipo,Convert a universal binary
135,ln,"Make links between files (hard links, symbolic links)"
136,local,Set a local (function) variable •
137,locate,Find files
138,logname,Print current login name
139,login,log into the computer
140,logout,Exit a login shell (bye) •
141,look,Display lines beginning with a given string
142,lp,Print files
143,lpr,Print files
144,lprm,Remove jobs from the print queue
145,lpstat,Printer status information
146,ls,List information about file(s)
147,lsregister,Reset the Launch Services database
148,lsbom,List a bill of materials file
149,lsof,List open files
150,md5,Calculate a checksum for a file
151,mdfind,Spotlight search
152,mdimport,Import file hierarchies into the Spotlight datastore.
153,mdls,List the metadata attributes for a specified file
154,mdutil,Manage Spotlight metadata store
155,mkdir,Create new folder(s)
156,mkfifo,Make FIFOs (named pipes)
157,mkfile,Make a file
158,mktemp,Make a temporary file
159,more,Display output one screen at a time
160,mount,Mount a file system
161,mv,Move or rename files or directories
162,nano,Simple text editor
163,nc/netcat,Read and write data across networks
164,net,Manage network resources
165,networkQuality,Network quality testing tool
166,networksetup,Network and System Preferences
167,nice,Set the priority of a command
168,nl,Number lines and write files
169,nohup,Run a command immune to hangups
170,ntfs.util,NTFS file system utility
171,nvram,Manipulate  firmware variables
172,onintr,Control the action of a shell interrupt
173,open,Open a file/folder/URL/Application
174,opensnoop,Snoop file opens as they occur
175,openssl,OpenSSL command line
176,osacompile,Compile Applescript
177,osascript,Execute AppleScript
178,passwd,Modify a user password
179,paste,Merge lines of files
180,pbcopy,Copy data to the clipboard
181,pbpaste,Paste data from the Clipboard
182,pbs,General helper tool
183,pgrep,List processes by a full or partial name
184,ping,Test a network connection
185,pkill,Kill processes by a full or partial name
186,pkgbuild,Build a macOS Installer component package
187,pkgutil,Query and manipulate installed packages
188,pmset,Power Management settings
189,popd,Restore the previous value of the current directory •
190,pr,Convert text files for printing
191,printenv,List environment variables
192,printf,Format and print data •
193,profiles,Profiles Tool
194,ps,Process status
195,pushd,Save and then change the current directory
196,pwd,Print Working Directory •
197,qlmanage,Quick Look Server debug and management tool
198,quota,Display disk usage and limits
199,rcp,Copy files between machines
200,read,Read one line from standard input •
201,readonly,Mark a variable or function as read-only •
202,ReportCrash,Enable/Disable crash reporting
203,return,Exit a function •
204,rev,Reverse lines of a file
205,rm,Remove files
206,rmdir,Remove folder(s)
207,rsync,Remote file copy - Sync file tree
208,say,Convert text to audible speech
209,screen,"Multiplex terminal, run remote shells via ssh"
210,screencapture,Capture screen image to file or disk
211,scselect,Switch between network locations
212,scutil,Manage system configuration parameters
213,sdiff,Merge two files interactively
214,security,"Administer Keychains, keys, certificates and the Security framework"
215,sed,Stream Editor
216,select,Generate a list of items •
217,seq,Print numeric sequences
218,serverinfo,Server information
219,set,Set a shell variable = value •
220,setfile,Set attributes of HFS+ files
221,sharing,"Create share points for afp, ftp and smb services"
222,shasum,Print or Check SHA Checksums
223,shift,Shift positional parameters •
224,shopt,Set shell options •
225,shortcuts,Manage macOS shortcuts
226,shutdown,Shutdown or restart macOS
227,sips,Scriptable image processing system
228,sleep,Delay for a specified time
229,softwareupdate,System software update tool
230,sort,Sort text files
231,source,Execute commands from a file •
232,split,Split a file into fixed-size pieces
233,sqlite3,SQL database (download history)
234,srm,Securely remove files or directories
235,stat,Display the status of a file
236,stop,Stop a job or process
237,su,Substitute user identity
238,sudo,Execute a command as another user
239,sum,Print a checksum for a file
240,suspend,Suspend execution of this shell •
241,sw_vers,Print macOS operating system version
242,sysctl,Get or set kernel state
243,system_profiler,Report system configuration
244,systemsetup,Computer and display system settings
245,tabs,Set terminal tabs
246,tab2space,Expand tabs and ensure consistent cr/lf line endings
247,tail,Output the last part of files
248,tar,Tape ARchiver
249,taskpolicy,Execute a program with an altered I/O or scheduling policy
250,tccutil,Manage the privacy database
251,tcpdump,Dump traffic on a network
252,tee,Redirect output to multiple files
253,test,Condition evaluation •
254,textutil,"Manipulate text files in various formats (Doc,html,rtf)"
255,time,Measure Program Resource Use
256,times,Print shell & shell process times •
257,tmutil,Time Machine utility
258,top,Display process information
259,touch,Change file timestamps
260,tput,"Set terminal-dependent capabilities, color, position"
261,tr,"Translate, squeeze, and/or delete characters"
262,trap,Execute a command when the shell receives a signal •
263,traceroute,Trace Route to Host
264,traceroute6,Trace IPv6 Route to Host
265,trimforce,Enable TRIM commands on third-party drives
266,true,"Do nothing, successfully"
267,tty,Print filename of terminal on stdin
268,type,Describe a command •
269,ulimit,limit the use of system-wide resources •
270,umask,Users file creation mask
271,umount,Unmount a device
272,unalias,Remove an alias •
273,uname,Print the Darwin OS Kernel version / release / machine name
274,unexpand,Convert spaces to tabs
275,uniq,Uniquify files
276,units,Convert units from one scale to another
277,unset,Remove variable or function names •
278,until,Loop command •
279,uptime,Show how long system has been running
280,users,Print login names of users currently logged in
281,until,Execute commands (until error)
282,uuencode,Encode a binary file
283,uudecode,Decode a file created by uuencode
284,uuidgen,Generate a Unique ID (UUID/GUID)
285,vi,Text Editor
286,w,Show who is logged on and what they are doing
287,wait,Wait for a process to complete •
288,wall,Write a message to users
289,wc,"Print byte, word, and line counts"
290,whatis,Search the whatis database for complete words
291,whereis,Locate a program
292,which,Locate a program file in the user's path
293,while,Loop command •
294,who,Print all usernames currently logged on
295,whoami,Print the current user id and name ('id -un')
296,write,Send a message to another user
297,xargs,Execute utility - passing arguments
298,xattr,Display and manipulate extended attributes
299,xcode-select,Install the command line developer tools
300,xxd,Make a hexdump or do the reverse
