,name,description
0,Abs(number),Absolute (positive) value of number.
1,.AppActivate,Activate running command.
2,.Application,BrowseForFolder/Open.
3,"Array(el1,el2,el3)",Add values to an Array variable.
4,Arguments,Command line arguments.
5,Asc(String),Return ASCII code for string.
6,AscB(String),Return the byte code for a character.
7,AscW(String),Return Unicode code for string.
8,Beep,see StdOut.Write
9,.BrowseForFolder,Prompt the user to select a folder.
10,CBool(expression),Convert expression to Boolean (True/False) •
11,CByte(expression),Convert expression to Byte (0-255) •
12,CCur(expression),Convert expression to Currency (numeric) •
13,CDate(expression),Convert expression to Date •
14,CDbl(expression),Convert expression to Double (up to 1.79x10308) •
15,Chr(ChrCode),Return the string character for ChrCode (ASCII code)
16,ChrB(ChrCode),Return the string character for ChrCode (Byte code)
17,ChrW(ChrCode),Return the string character for ChrCode (Unicode/DBCS)
18,CInt(expression),Convert expression to Integer •
19,CLng(expression),Convert expression to long •
20,CSng(expression),Convert expression to single •
21,CStr(expression),Convert expression to a string •
22,.CreateObject,Create an automation object / run an external command.
23,.CreateShortcut,Create Shortcut.
24,cscript,Run a VBScript .vbs file.
25,.CurrentDirectory,Retrieve or change the current directory.
26,Date(),The current system date.
27,DateAdd,Add a time interval to a Date.
28,DateDiff,Return the time interval between two dates.
29,DatePart,Return part of a given date.
30,DateSerial,"Return a Date from a numeric Year, Month and Day."
31,DateValue,Return a Date from a string expression.
32,Day(date),Return the day component of date (1-31)
33,Dim,Declare a new variable or array variable.
34,Do..Loop,Repeat a block of statements.
35,Drives,Drive Map .MapNetworkDrive - .Enum - .Remove
36,.Echo,"Echo text to screen, also StdOut.Write /.Popup"
37,Environment Variables,Expand - .Delete/Remove.
38,Escape(String),Return only ASCII characters from a Unicode string.
39,Eval(expr),Evaluate an expression.
40,.Exec,Run a command.
41,Execute,Execute one or more  statements.
42,Exp(n),Return e (base of natural logs) raised to a power n.
43,Exit,Exit a block of code immediately.
44,FileSystemObject,"Work with Drives, Folders and Files."
45,Filter,Produce an array by filtering an existing array.
46,Fix(number),Return the integer portion of a number.
47,For...Next,Repeat a block of statements a given number of times.
48,For Each...,Loop through the items in a collection or array.
49,FormatCurrency,Format a number with a currency symbol.
50,FormatNumber,Format a number.
51,FormatPercent,Format a number with a % symbol.
52,FormatDateTime,Format a Date/Time value.
53,Function,Define a function procedure.
54,GetLocale(),Return the Regional LocaleID.
55,.GetObject,Get an Automation object.
56,Hex(number),Return the hex value of number.
57,Hour(time),h     Return the hour component of time.
58,If..Then,Conditionally execute a block of statements.
59,InputBox,Prompt for user input.
60,InStr,Find one string within another.
61,InStrRev,"Find one string within another, starting from the end."
62,Int(number),Return the integer portion of a number.
63,IsArray(varname),Is varname an array?
64,IsDate(expression),Is expression a DateTime?
65,IsEmpty(expression),Is expression initialised?
66,IsNull(expression),Is expression NULL?
67,IsNumeric(expression),Is expression a Numeric?
68,IsObject(expression),Is expression an object?
69,Join,Combine the contents of an array into a single variable.
70,LBound,Return the smallest subscript for an array.
71,LCase(String),Return String in lower case.
72,"Left(String,len)",Return the leftmost len characters of string.
73,Len(String),Return length of string in characters.
74,Log(number),Return natural log of number.
75,.LogEvent,Log an item in the Event log.
76,LTrim(String),Remove any leading spaces from a string expression.
77,.MapNetworkDrive,Drive Map.
78,Mid,Return a mid-section from a string.
79,Minute(time),Return the minute component of time.
80,Month(date),Return the month component of date.
81,MonthName,Convert a month number to a descriptive Month.
82,MsgBox,Display a dialogue box message.
83,.Network,Access network resources.
84,Now,Return the current Date and Time.
85,On Error,Error handling.
86,Option Explicit,Force all variables to be defined
87,.AddPrinterConn.AddWindowsPrConn,Add Printer connection.
88,.EnumPrinterConnections,List Printer connections.
89,.SetDefaultPrinter,Set default printer.
90,.RemovePrinterConnection,Remove printer connection.
91,Private VarName,Declare a local variable/array variable.
92,Public VarName,Declare a public variable/array variable.
93,.Quit,Quit.
94,.ReadLine,Accept user text input.
95,ReDim,Resize a dynamic array.
